name,lon,lat,n_coffee,favourite_mode
rl,-1.5,53.8,5,bicycle
mb,16.4,48.2,0,walk
ct,NA,NA,NA,NA
mm,NA,NA,NA,NA
jt,NA,NA,NA,NA
ea,NA,NA,NA,NA
na,NA,NA,NA,NA
bi,NA,NA,NA,NA
mb,NA,NA,NA,NA
ab,NA,NA,NA,NA
ld,NA,NA,NA,NA
rf,NA,NA,NA,NA
dm,NA,NA,NA,NA
sp,NA,NA,NA,NA
mp,NA,NA,NA,NA
ot,NA,NA,NA,NA
yw,NA,NA,NA,NA
sw,NA,NA,NA,NA
bz,NA,NA,NA,NA
